,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners,region_recod
9,0.89200002,AUT,5,38868.039,8.543999671936035,1.5,4.492074966430664,5.499549865722656,,WesternDem
12,0.57499999,BGD,8,1796.64,154.6950073242188,7.5,3.293149709701538,1.9572600126266482,57.23989868164063,SouthAsia
117,0.79500002,OMN,3,26158.73,3.717000007629395,1.8999999761581419,3.535049200057983,4.960380077362061,94.32984161376952,NorthAfrica
77,0.68599999,IDN,7,4780.0098,252.1649932861328,6.300000190734862,4.464125156402588,3.278609991073608,75.01837158203125,SouthEastAsia
63,0.44999999,GMB,4,1601.88,,7.699999809265138,4.276580810546875,2.767709970474243,,SubSaharian
27,0.79799998,BLR,1,17780.641,9.468000411987305,3.4000000953674316,,4.990439891815186,99.46544647216795,EastEurope
189,0.69700003,UZB,1,7370.7202,29.74600028991699,6.300000190734862,,,92.20738220214844,EastEurope
167,0.90899998,SWE,5,39000.91,9.645000457763672,1.5,4.577005863189697,7.675089836120606,96.65155792236328,WesternDem
164,0.48800001,SDN,4,,,8.800000190734863,,,,SubSaharian
90,0.89899999,KOR,6,33181.891,50.74700164794922,3.5,3.6152341365814213,5.052110195159912,96.77686309814452,EastAsia
176,0.72299999,TUN,3,6912.2798,,5.5,3.721023797988892,6.2503600120544425,,NorthAfrica
126,0.52499998,NGA,4,2246.8201,160.3419952392578,7.0999999046325675,2.85273027420044,,,SubSaharian
152,0.77499998,SRB,1,11343.92,7.166999816894531,5.300000190734863,3.0581588745117188,4.178609848022462,92.20523071289064,EastEurope
147,0.72000003,VCT,10,7454.8799,0.1099999994039536,,,,,Caribbean
86,0.79299998,KAZ,1,14098.88,17.42200088500977,3.5999999046325684,3.581974983215332,2.7874999046325684,95.94628143310548,EastEurope
188,0.79400003,URY,2,12804.84,3.453999996185303,4.400000095367432,2.903504610061647,4.356939792633057,76.34809875488281,LatAm
89,,PRK,6,1727.8199,,4.199999809265137,,,76.20372772216797,EastAsia
148,,SMR,5,42664.210999999996,0.034000001847743995,,,2.3837299346923833,,WesternDem
111,,MCO,5,108481.13,,,,1.0219500064849851,,WesternDem
153,0.78100002,SYC,4,9583.3203,0.0900000035762787,5.5,4.323356151580811,3.6064400672912598,74.57037353515625,SubSaharian
78,0.77399999,IRN,3,12889.28,75.1500015258789,6.199999809265138,3.0124309062957764,2.9541900157928467,80.731201171875,NorthAfrica
143,0.80500001,RUS,1,19063.689,143.4290008544922,4.5,3.4765191078186035,3.8613300323486333,,EastEurope
65,0.57499999,GHA,4,2584.6001,,7.5999999046325675,3.8389039039611816,6.178549766540527,51.05852890014648,SubSaharian
134,0.69199997,PRY,2,4812.9199,6.559000015258789,5.199999809265137,2.3244397640228267,4.955399990081787,66.45951843261719,LatAm
122,0.59799999,VUT,9,2877.01,0.2569999992847443,,,4.910830020904541,49.496299743652344,Pacific
58,0.89300001,FIN,5,36958.211,5.427000045776367,2.299999952316284,5.859115123748778,7.168099880218506,94.00318145751952,WesternDem
186,0.91799998,USA,5,47769.699,318.7890014648438,1.5,4.5645713806152335,5.380780220031738,90.46228790283205,WesternDem
142,0.79799998,ROU,1,14563.14,19.95299911499023,4.5,3.833498477935791,3.1291799545288086,83.92993927001953,EastEurope
157,0.67799997,VNM,7,4147.5698,89.69100189208984,5.599999904632568,3.336011409759522,5.658730030059815,,SouthEastAsia
55,0.41800001,ERI,4,1007.28,,7.5999999046325675,,,28.41555976867676,SubSaharian
160,0.66500002,ZAF,4,8820.0596,54.14699935913086,4.900000095367432,2.218669414520264,6.029550075531006,,SubSaharian
116,0.414,MOZ,4,852.39001,25.73299980163574,7.4000000953674325,2.77046012878418,6.483220100402832,19.43997955322266,SubSaharian
40,0.58999997,COG,4,2369.8401,,6.800000190734862,,,,SubSaharian
95,0.495,LSO,4,1539.79,,7.4000000953674325,4.053547382354736,,35.21265029907227,SubSaharian
76,0.61500001,IND,8,4256.79,,5.5,4.156626701354981,3.842360019683838,61.75524139404297,SouthAsia
59,0.89399999,FRA,5,34007.898,64.02799987792969,2.200000047683716,4.381113052368163,5.492990016937256,99.44432830810548,WesternDem
119,,NRU,9,3130.47,0.0120000001043081,,,,71.94534301757812,Pacific
38,0.72399998,COL,2,8761.1396,47.6619987487793,6.699999809265138,3.405907869338989,4.659409999847412,78.58606719970703,LatAm
74,0.83399999,HUN,1,18310.811,9.876999855041504,3.2999999523162837,3.28902006149292,4.6593499183654785,92.19537353515624,EastEurope
115,0.64499998,MAR,3,3999.5601,33.179000854492195,7.5999999046325675,3.170891284942627,,56.14244842529297,NorthAfrica
103,0.47299999,MWI,4,938.3499800000001,17.60400009155273,8.100000381469728,3.185531854629517,4.842539787292481,32.94229125976563,SubSaharian
97,0.42699999,LBR,4,488.26999000000006,,6.5999999046325675,3.472222328186035,2.757560014724731,,SubSaharian
49,0.72399998,DMA,10,12613.72,,,,,86.32093048095703,Caribbean
150,0.84500003,SAU,3,20872.711,30.770000457763672,3.7000000476837163,4.109292984008788,,87.83480834960938,NorthAfrica
165,0.72299999,SUR,10,6049.1499,0.546999990940094,7.300000190734862,2.884561777114868,,58.39226913452148,Caribbean
11,0.82300001,BHR,3,22498.48,1.26800000667572,3.5,4.319009780883788,2.467459917068481,88.25039672851562,NorthAfrica
140,0.60299999,TLS,7,1957.8101,1.146000027656555,7.0,2.449350833892822,7.7750000953674325,51.84904861450195,SouthEastAsia
21,0.70599997,BLZ,10,6649.1401,0.3499999940395355,6.5,2.651880979537964,6.425839900970459,69.32601165771484,Caribbean
169,0.55299997,SYR,3,4284.4199,,7.4000000953674325,3.24616551399231,,46.6161994934082,NorthAfrica
149,0.565,STP,4,2150.55,,7.9000000953674325,,3.7568199634552,64.42681121826172,SubSaharian
87,0.741,JOR,3,5188.9199,6.675000190734862,3.5999999046325684,4.585320949554443,,81.37625122070312,NorthAfrica
129,,MHL,9,2833.97,0.0540000014007092,,,,64.4613037109375,Pacific
18,0.74699998,BIH,1,8507.6504,3.871000051498413,5.5,2.355769157409668,,,EastEurope
145,0.76200002,KNA,10,11237.75,,,,2.784240007400513,82.93193817138672,Caribbean
8,0.93699998,AUS,5,38611.949,23.62100028991699,1.0,4.79896879196167,5.225339889526367,87.5728530883789,WesternDem
88,0.55000001,KEN,4,1494.63,40.70000076293945,7.5,4.50993537902832,5.274750232696533,,SubSaharian
5,0.78399998,ATG,10,12257.71,,7.300000190734862,,,79.73143768310547,Caribbean
128,0.63700002,FSM,9,2624.05,0.1019999980926514,9.0,,12.46774959564209,,Pacific
68,0.75099999,GRD,10,8314.5596,,8.399999618530272,,,82.3596420288086,Caribbean
105,0.70099998,MDV,8,13349.76,0.335999995470047,5.599999904632568,,4.1469597816467285,,SouthAsia
48,0.92299998,DNK,5,37406.762,5.626999855041504,1.8999999761581419,4.81274938583374,8.627109527587892,89.81745910644531,WesternDem
172,0.484,TGO,4,1036.28,6.928999900817871,7.300000190734862,,4.868460178375244,,SubSaharian
155,0.92400002,SGP,7,54268.148,5.46999979019165,3.2999999523162837,5.797279357910156,2.91579008102417,,SouthEastAsia
182,0.74599999,MKD,1,9610.5996,2.069000005722046,5.5,3.961112499237061,,,EastEurope
20,0.75400001,BRA,2,9815.2402,202.7689971923828,4.099999904632568,2.720419406890869,5.993949890136719,82.8290786743164,LatAm
175,0.83600003,ARE,3,20310.109,,2.5,5.27984094619751,,,NorthAfrica
139,0.42100000000000004,GNB,4,961.26001,,8.5,,2.173130035400391,,SubSaharian
191,0.70200002,WSM,9,3167.75,0.1920000016689301,8.899999618530273,,,79.54598236083984,Pacific
36,0.73400003,CHN,6,9283.3799,,4.599999904632568,4.028250217437743,,,EastAsia
162,0.88200003,ESP,5,31086.35,46.45500183105469,2.4000000953674316,3.4416911602020264,4.27092981338501,96.4586181640625,WesternDem
168,0.93800002,CHE,5,50454.41,8.140000343322754,2.099999904632568,5.986858367919923,5.096079826354981,84.2464828491211,WesternDem
107,0.85299999,MLT,5,24094.641,0.42500001192092896,4.0,5.026020526885986,7.848999977111816,88.06436157226562,WesternDem
47,0.48100001,BEN,4,1413.05,10.31999969482422,6.800000190734862,2.39393949508667,4.3206801414489755,44.96981811523438,SubSaharian
70,0.414,GIN,4,993.8300199999999,11.74499988555908,7.199999809265138,2.425785064697266,3.2081699371337886,31.78817939758301,SubSaharian
156,0.84200001,SVK,1,21776.34,5.415999889373778,4.199999809265137,2.762844562530518,4.238560199737549,,EastEurope
179,,TUV,9,3174.05,0.0109999999403954,,,,69.80497741699219,Pacific
121,0.92299998,NLD,5,42258.352,16.86499977111816,2.5999999046325684,5.304530620574951,5.529379844665527,93.88201904296876,WesternDem
92,0.662,KGZ,1,3010.24,5.894999980926514,6.4000000953674325,2.8536891937255864,5.527379989624023,80.17756652832031,EastEurope
94,0.76300001,LBN,3,14711.97,4.382999897003174,5.400000095367432,4.551487922668457,2.5711901187896733,64.83651733398439,NorthAfrica
181,0.74800003,UKR,1,9326.7197,42.7599983215332,5.5,3.673648834228516,5.863540172576903,88.56585693359375,EastEurope
30,0.91900003,CAN,5,36577.078,35.49599838256836,2.200000047683716,5.245896816253662,5.281219959259033,,WesternDem
6,0.75800002,AZE,1,9793.3096,9.342000007629396,4.300000190734863,3.089141368865967,2.634660005569458,,EastEurope
61,0.69400001,GAB,4,14525.28,,5.5,2.875664710998535,2.666169881820679,,SubSaharian
192,0.49900001,YEM,3,2170.9299,,7.5,1.8963284492492682,,41.72175979614258,NorthAfrica
22,0.514,SLB,9,2113.0601,0.5619999766349792,6.300000190734862,,,,Pacific
42,0.77499998,CRI,2,9485.71,,3.5,4.666448593139648,6.9272398948669425,78.12113952636719,LatAm
123,0.91299999,NZL,5,26481.369,4.554999828338623,2.099999904632568,5.318371295928955,6.33680009841919,96.44001770019531,WesternDem
101,0.89600003,LUX,5,61404.48,0.550000011920929,2.099999904632568,4.580255031585693,4.0838799476623535,84.60346984863281,WesternDem
43,0.82300001,HRV,1,18020.41,4.23799991607666,4.5,3.225566625595093,4.5816001892089835,92.67062377929688,EastEurope
10,0.79000002,BHS,10,21672.029,0.3560000061988831,5.0,,,,Caribbean
0,0.479,AFG,8,1282.64,29.82500076293945,8.100000381469728,,3.780280113220215,48.75032043457031,SouthAsia
91,0.79900002,KWT,3,64342.710999999996,3.999000072479248,3.0999999046325684,3.075769186019898,,83.57884979248047,NorthAfrica
158,0.88800001,SVN,1,24456.561,2.0610001087188716,2.799999952316284,4.073011398315431,5.4865899085998535,94.94590759277344,EastEurope
82,0.88099998,ITA,5,32931.672,60.78300094604492,2.0,3.736852645874023,4.079850196838379,95.72698974609376,WesternDem
183,0.68800002,EGY,3,5598.2598,86.69999694824219,4.699999809265137,2.187044858932495,,81.85820770263672,NorthAfrica
132,0.78500003,PAN,2,15137.04,3.788000106811523,4.0,3.523098230361939,3.187720060348511,77.83374786376953,LatAm
45,0.85399997,CYP,3,27207.07,0.8579999804496765,4.5,5.188638210296631,6.138390064239503,94.71498107910156,NorthAfrica
